ds,AA,AAPL,AIG,AMGN,AMZN,AXP,BA,BAC,C,CAT,CRM,CSCO,CVX,DD,DIS,GE,GS,HD,HON,HPQ,IBM,INTC,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,NKE,NVDA,PFE,PG,SHW,T,TRV,UNH,VZ,WMT,XOM
2013-06-01,-0.13312260830491812,-0.07596863302332521,-0.10308213479765949,-0.04333601648283999,-0.08465670493187866,-0.05779201203843259,-0.05850911137159561,-0.12921391432890583,-0.12797684611908394,-0.09236376542282919,-0.11654617764806961,-0.09501940133145505,-0.05385250531834994,-0.08498080343579106,-0.06014708694516752,-0.08503222606791834,-0.12356504104081421,-0.024152188580728092,-0.08014148026581919,-0.13923355504061036,-0.039036100471235076,-0.0833397742014022,-0.07057637587767931,-0.028674679458356136,-0.07167055853263073,-0.03055417214602395,-0.026375950069870348,-0.05634064988091847,-0.038489076643350426,-0.04490065072471506,-0.06950315258651885,-0.04127176775163492,-0.15538193344163934,-0.05005685409643158,-0.038471486687080454,-0.041376128812302286,-0.03199562375766788,-0.047135972310090986,-0.03585787649086694,-0.037307500815056065,-0.04098189931529813,-0.045476328037964205
2013-07-01,-0.12008007711437013,-0.08587878368886401,-0.10229969364108973,-0.04417222127755626,-0.06878182849492924,-0.05802212820992084,-0.056940597807831846,-0.13082645750533578,-0.12871617926099962,-0.0891530802695258,-0.11904156774206526,-0.09670693055321139,-0.047280962610763734,-0.08807771539126183,-0.058520416556196865,-0.07397627806800691,-0.1229011440212291,-0.023492209763594823,-0.06531084333942143,-0.13561571022008692,-0.04229743724379016,-0.0792994789784961,-0.0709341456984981,-0.028526483583629834,-0.0712394838681564,-0.02977907067249681,-0.02526835583618652,-0.05647723852127456,-0.03900093377780864,-0.04610472621868452,-0.06254872695271266,-0.03897399149263743,-0.14740758449022848,-0.047527903680699354,-0.03788353656054366,-0.04048570213634794,-0.03154439951527845,-0.04782148248109798,-0.03395361389469498,-0.03674646036615598,-0.039731394052264946,-0.043941832569115186
2013-08-01,-0.1209298165396876,-0.09836396620811375,-0.09928276174499247,-0.04337288037419446,-0.06862213677483286,-0.051239030033844044,-0.05654851876613762,-0.12480574117075113,-0.12881330554058015,-0.08869622350033564,-0.11923897733246931,-0.09624081392744605,-0.046013837317261386,-0.08653500373784553,-0.05979182539070918,-0.06400010264603737,-0.09624233748652485,-0.023425868324235,-0.04510118089477056,-0.1328127725201863,-0.04283298198629038,-0.08196217414075234,-0.07035371071054253,-0.02895415531719753,-0.06776425621199395,-0.03195559860251119,-0.02478320687271979,-0.049711904795885796,-0.040348310179289915,-0.04470997643215226,-0.06810029584633866,-0.03519602252752298,-0.12436940755692028,-0.0477594939272709,-0.037235792006353324,-0.0408518859595419,-0.03211146314542073,-0.046258647663634744,-0.03282103856367108,-0.0347187839338204,-0.03979178158007335,-0.044166892445494335
2013-09-01,-0.11944084090601388,-0.09405983496933003,-0.09796489087830186,-0.04142833838430219,-0.07306671677521588,-0.04118067659233753,-0.049405169776451076,-0.1233012302662553,-0.1282008353856119,-0.09114165759911277,-0.11889143367429633,-0.08570185410164506,-0.04653513747756377,-0.08599300641872629,-0.06108732622279075,-0.061020208851759794,-0.09569931096348278,-0.03386148412262765,-0.04569670180352247,-0.13893265191267806,-0.052558317968121514,-0.07690970008108375,-0.064623098029814,-0.032784738960917846,-0.07187590434654378,-0.03433691149577739,-0.02953438499727474,-0.047450757624610145,-0.041483793132762424,-0.045781719344044146,-0.056783476121039976,-0.03771809817647766,-0.12099800543853222,-0.05019537984269126,-0.03740299717514947,-0.04162825862461386,-0.033400468475947125,-0.048362775466522054,-0.03440285479475041,-0.036773825975382465,-0.0414457679912386,-0.04729304991427881
2013-10-01,-0.09436190758873406,-0.07662769257694961,-0.09456900953592444,-0.04186587225576536,-0.07383070836992847,-0.03759630683368667,-0.04827433787927451,-0.12331045654828418,-0.12958946432807036,-0.08919708541849113,-0.11780501922046564,-0.08288598789182398,-0.0461262711546485,-0.07576088715638446,-0.05989405217995193,-0.059185879027423866,-0.09612010763647127,-0.027965306834113746,-0.04063215297183127,-0.1319101058161687,-0.04526166125791972,-0.05987439535273675,-0.06779719639137635,-0.032940096597839204,-0.07309403967064494,-0.035867499629316124,-0.029524437505083236,-0.04638475230155539,-0.04163716421178517,-0.04689731433067477,-0.0580500826696014,-0.032002022260497434,-0.11974799324214241,-0.05160613733627174,-0.03836289830574982,-0.04196451806024627,-0.033915113862151375,-0.045865832848683404,-0.03244416925292385,-0.037713523359821956,-0.042491369334686266,-0.048769449419782174
2013-11-01,-0.12146536837039079,-0.07563718028739153,-0.08950570653381876,-0.041866900614975604,-0.07398777551372013,-0.042064457291195734,-0.0515101796505102,-0.11982250939679195,-0.13128197450138815,-0.09411995227018287,-0.11809001989664497,-0.08621158819068257,-0.047009567868152864,-0.06859103926028942,-0.05876145092077703,-0.06047457439277621,-0.09765727949027528,-0.026384146413045206,-0.03834912530647976,-0.13396416459304405,-0.0442007751650083,-0.059225622032471094,-0.06736526911988197,-0.03407706692383528,-0.058457148555294505,-0.03541997229334386,-0.03065028439788493,-0.044088969981589385,-0.042311305959413646,-0.04804025397185,-0.05034430561540989,-0.03410948065795315,-0.11910247999869178,-0.05011552809078872,-0.038134218835847854,-0.04027490752630239,-0.03298962104244828,-0.04501443994098187,-0.03947048521639543,-0.03768921264435604,-0.041780882700101184,-0.04683298604893558
2013-12-01,-0.12042539992527442,-0.07480239933611697,-0.09042688824063579,-0.03800471344774692,-0.07343961094373583,-0.041933592920718785,-0.043412935084728425,-0.11757079963372934,-0.12911826367011994,-0.09348106037990395,-0.12270044479410853,-0.0795268234857342,-0.045887128216805385,-0.06823943327373656,-0.058263888752843634,-0.059592557796616395,-0.09540175708960262,-0.024772443886501815,-0.03978302107767313,-0.13060578997666278,-0.04371395458230966,-0.06147860128059144,-0.0657543731197221,-0.03220379069715101,-0.06133942849379093,-0.03582279043196195,-0.030594965888891174,-0.042319083400240626,-0.03731734118955594,-0.04371252470272864,-0.04868513381480901,-0.033426884220426854,-0.11916132385966499,-0.04184766472042424,-0.03582676167515229,-0.04146605456470169,-0.03307893789590566,-0.044766008964414274,-0.04254693569147371,-0.037871225542285496,-0.040198053899759424,-0.04691914994809344
2014-01-01,-0.1170126023437325,-0.07541012736861925,-0.09176839618681783,-0.03905395449980046,-0.07380325447835975,-0.040144700112904025,-0.04366770021126034,-0.1145305242893165,-0.11179158996056945,-0.09372718077442896,-0.11960676106421629,-0.07772897263371238,-0.047779422571270914,-0.061433349170655786,-0.056717122724891336,-0.05815231141878715,-0.09614231864912173,-0.028479687217531507,-0.040272262134510364,-0.12989325309135333,-0.04350728144944452,-0.07697013737872581,-0.05203782320014872,-0.03329263805241448,-0.06041391664193949,-0.03619181580188004,-0.030128547516284115,-0.04171997020598001,-0.036975788128057144,-0.04485509703979183,-0.04457053035336498,-0.03520204549629858,-0.11233566426953914,-0.04211420185128693,-0.035730194503563885,-0.031289827789520074,-0.03360067528475214,-0.04421831029163,-0.04192926909913294,-0.03905649236504346,-0.040911398607394345,-0.04602600360468571
2014-02-01,-0.11684285081440628,-0.1023394641145685,-0.09292107347924425,-0.037959219891630154,-0.08546682642677916,-0.046822959166860335,-0.052346960820563934,-0.11119308300121505,-0.11481485484742696,-0.09575372112574222,-0.11631721742116662,-0.07959060526591649,-0.052956869960269465,-0.058809027722478,-0.05909115561220458,-0.06387550025559703,-0.09745148374024602,-0.03198627432947471,-0.04096620938213589,-0.12884174436714207,-0.048004523915062935,-0.07905753070779334,-0.05444105857368306,-0.03405152983240976,-0.06176174721823473,-0.037305328216388024,-0.029038500038643784,-0.04718693788524806,-0.04172990999452535,-0.039838237879059164,-0.04407208884523826,-0.037660864885251014,-0.10455308033063504,-0.04344912795747678,-0.03939692578418459,-0.03165121436776403,-0.033295785533158345,-0.048486626042582213,-0.042054895571340574,-0.03956537930820252,-0.04389148426308552,-0.05137932131196762
2014-03-01,-0.11675715959053198,-0.1020538068763824,-0.093213758904429,-0.031003691518979873,-0.08580041898012496,-0.0449371285920856,-0.05254678691037164,-0.11668777721759627,-0.11329928561709916,-0.09565469480728034,-0.11614608711477116,-0.06877580181849458,-0.05351304278230332,-0.05416188861758614,-0.05943442509693691,-0.06457547366023023,-0.09708430365115724,-0.030642741674723608,-0.041478044586619925,-0.13042422914257437,-0.04664914848344503,-0.07882146087666946,-0.05271390824422509,-0.03368162367615914,-0.060227477799795155,-0.03749913226126235,-0.029507294386133143,-0.047131489778914806,-0.03947854021417928,-0.03802386783530388,-0.042575103130444776,-0.034721907814925054,-0.11033898796367365,-0.04344167885617182,-0.03861207017937153,-0.04119104227947363,-0.035405069570380365,-0.04807133046237726,-0.04117250276642504,-0.04091246630191513,-0.041401782986168784,-0.04976198236390001
2014-04-01,-0.11699598618591571,-0.10096035152819069,-0.09164069801547532,-0.032162457123024006,-0.08887067100335247,-0.04635671507513833,-0.054039665295558766,-0.11640010213150717,-0.11234445176117949,-0.09680090177301563,-0.11877275427608809,-0.06953705962248932,-0.053614179706270554,-0.05453655545509131,-0.05927599673882347,-0.06289976998017358,-0.09660446530441878,-0.03556160479396369,-0.042782904231083885,-0.12686632163428552,-0.04570776288242461,-0.07591940579636862,-0.056828450128948334,-0.032764430375098345,-0.05997593634470893,-0.038216299438740955,-0.02880157194166494,-0.04730783651125239,-0.03930486168436802,-0.03850636710082556,-0.04594522316338634,-0.03842253913089931,-0.09378770859782985,-0.04455861202854439,-0.03728817102483001,-0.04233579623346488,-0.03485608071476314,-0.04946590754996363,-0.04118494111443747,-0.04213716287882181,-0.04079586781423517,-0.04884483776039663
