unique_id,Model,Alpha,Level,Coverage,Width %,ACE %,N
AA,WindowAverage,0.1,90%,0.9444,48.85,4.44,36
AA,Naive,0.1,90%,0.9444,72.15,4.44,36
AA,RWD,0.1,90%,0.9444,72.37,4.44,36
AA,HistoricAverage,0.1,90%,0.9722,49.96,7.22,36
AA,AutoETS,0.1,90%,0.9722,49.97,7.22,36
AA,AutoARIMA,0.1,90%,0.9722,50.94,7.22,36
AA,WindowAverage,0.15,85%,0.9444,44.99,9.44,36
AA,Naive,0.15,85%,0.9167,63.42,6.67,36
AA,RWD,0.15,85%,0.9167,63.62,6.67,36
AA,HistoricAverage,0.15,85%,0.9167,45.65,6.67,36
AA,AutoETS,0.15,85%,0.9167,45.65,6.67,36
AA,AutoARIMA,0.15,85%,0.8889,45.89,3.89,36
AA,WindowAverage,0.2,80%,0.8889,41.57,8.89,36
AA,Naive,0.2,80%,0.8611,55.28,6.11,36
AA,RWD,0.2,80%,0.8611,55.3,6.11,36
AA,HistoricAverage,0.2,80%,0.7778,38.69,-2.22,36
AA,AutoETS,0.2,80%,0.7778,38.7,-2.22,36
AA,AutoARIMA,0.2,80%,0.8333,38.7,3.33,36
AAPL,WindowAverage,0.1,90%,0.9722,24.51,7.22,36
AAPL,Naive,0.1,90%,1.0,35.23,10.0,36
AAPL,RWD,0.1,90%,1.0,35.38,10.0,36
AAPL,HistoricAverage,0.1,90%,1.0,23.6,10.0,36
AAPL,AutoETS,0.1,90%,1.0,23.6,10.0,36
AAPL,AutoARIMA,0.1,90%,1.0,24.12,10.0,36
AAPL,WindowAverage,0.15,85%,0.9444,21.95,9.44,36
AAPL,Naive,0.15,85%,1.0,27.67,15.0,36
AAPL,RWD,0.15,85%,1.0,27.72,15.0,36
AAPL,HistoricAverage,0.15,85%,0.9167,21.24,6.67,36
AAPL,AutoETS,0.15,85%,0.9167,21.24,6.67,36
AAPL,AutoARIMA,0.15,85%,0.9167,20.77,6.67,36
AAPL,WindowAverage,0.2,80%,0.9167,19.92,11.67,36
AAPL,Naive,0.2,80%,0.9444,24.53,14.44,36
AAPL,RWD,0.2,80%,0.9167,24.58,11.67,36
AAPL,HistoricAverage,0.2,80%,0.8889,18.98,8.89,36
AAPL,AutoETS,0.2,80%,0.8889,18.98,8.89,36
AAPL,AutoARIMA,0.2,80%,0.8889,19.31,8.89,36
AIG,WindowAverage,0.1,90%,0.8889,24.36,-1.11,36
AIG,Naive,0.1,90%,0.8611,32.55,-3.89,36
AIG,RWD,0.1,90%,0.8611,32.62,-3.89,36
AIG,HistoricAverage,0.1,90%,0.8889,23.92,-1.11,36
AIG,AutoETS,0.1,90%,0.8889,23.92,-1.11,36
AIG,AutoARIMA,0.1,90%,0.8889,25.72,-1.11,36
AIG,WindowAverage,0.15,85%,0.8889,20.43,3.89,36
AIG,Naive,0.15,85%,0.8611,28.88,1.11,36
AIG,RWD,0.15,85%,0.8611,28.93,1.11,36
AIG,HistoricAverage,0.15,85%,0.8889,19.75,3.89,36
